type,date,close
Marvel Comics: (United States),2022-11-26,50
Marvel Comics: (United States),2022-11-27,53
Marvel Comics: (United States),2022-11-28,42
Marvel Comics: (United States),2022-11-29,49
DC Comics: (United States),2022-09-03,65
DC Comics: (United States),2022-09-04,66
DC Comics: (United States),2022-09-05,70
DC Comics: (United States),2022-09-06,55
DC Comics: (United States),2022-09-07,51
DC Comics: (United States),2022-09-08,66
DC Comics: (United States),2022-09-09,65
DC Comics: (United States),2022-09-10,54
DC Comics: (United States),2022-09-11,64
DC Comics: (United States),2022-09-12,50
DC Comics: (United States),2022-09-13,48
DC Comics: (United States),2022-09-14,57
DC Comics: (United States),2022-09-15,56
DC Comics: (United States),2022-09-16,50
DC Comics: (United States),2022-09-17,58
DC Comics: (United States),2022-09-18,73
DC Comics: (United States),2022-09-19,44
DC Comics: (United States),2022-09-20,45
DC Comics: (United States),2022-09-21,41
DC Comics: (United States),2022-09-22,51
DC Comics: (United States),2022-09-23,55
DC Comics: (United States),2022-09-24,44
DC Comics: (United States),2022-09-25,59
DC Comics: (United States),2022-09-26,50
DC Comics: (United States),2022-09-27,55
DC Comics: (United States),2022-09-28,56
DC Comics: (United States),2022-09-29,58
DC Comics: (United States),2022-09-30,41
DC Comics: (United States),2022-10-01,43
DC Comics: (United States),2022-10-02,52
DC Comics: (United States),2022-10-03,54
DC Comics: (United States),2022-10-04,53
DC Comics: (United States),2022-10-05,47
DC Comics: (United States),2022-10-06,44
DC Comics: (United States),2022-10-07,59
DC Comics: (United States),2022-10-08,57
DC Comics: (United States),2022-10-09,60
DC Comics: (United States),2022-10-10,57
DC Comics: (United States),2022-10-11,56
DC Comics: (United States),2022-10-12,44
DC Comics: (United States),2022-10-13,55
DC Comics: (United States),2022-10-14,56
DC Comics: (United States),2022-10-15,56
DC Comics: (United States),2022-10-16,60
DC Comics: (United States),2022-10-17,57
DC Comics: (United States),2022-10-18,61
DC Comics: (United States),2022-10-19,53
DC Comics: (United States),2022-10-20,64
DC Comics: (United States),2022-10-21,72
DC Comics: (United States),2022-10-22,100
DC Comics: (United States),2022-10-23,75
DC Comics: (United States),2022-10-24,71
DC Comics: (United States),2022-10-25,74
DC Comics: (United States),2022-10-26,75
DC Comics: (United States),2022-10-27,52
DC Comics: (United States),2022-10-28,61
DC Comics: (United States),2022-10-29,80
DC Comics: (United States),2022-10-30,80
DC Comics: (United States),2022-10-31,54
DC Comics: (United States),2022-11-01,68
DC Comics: (United States),2022-11-02,50
DC Comics: (United States),2022-11-03,58
DC Comics: (United States),2022-11-04,50
DC Comics: (United States),2022-11-05,71
DC Comics: (United States),2022-11-06,69
DC Comics: (United States),2022-11-07,63
DC Comics: (United States),2022-11-08,54
DC Comics: (United States),2022-11-09,52
DC Comics: (United States),2022-11-10,54
DC Comics: (United States),2022-11-11,58
DC Comics: (United States),2022-11-12,56
DC Comics: (United States),2022-11-13,58
DC Comics: (United States),2022-11-14,53
DC Comics: (United States),2022-11-15,47
DC Comics: (United States),2022-11-16,49
DC Comics: (United States),2022-11-17,54
DC Comics: (United States),2022-11-18,53
DC Comics: (United States),2022-11-19,66
DC Comics: (United States),2022-11-20,68
DC Comics: (United States),2022-11-21,58
DC Comics: (United States),2022-11-22,55
DC Comics: (United States),2022-11-23,62
DC Comics: (United States),2022-11-24,69
DC Comics: (United States),2022-11-25,64
DC Comics: (United States),2022-11-26,57
DC Comics: (United States),2022-11-27,65
DC Comics: (United States),2022-11-28,42
DC Comics: (United States),2022-11-29,62
