"Day","type","close","date"
"9/26/22","DC Comics: (United States)",50,2022-09-26
"9/26/22","Marvel Comics: (United States)",45,2022-09-26
"9/27/22","DC Comics: (United States)",55,2022-09-27
"9/27/22","Marvel Comics: (United States)",45,2022-09-27
"9/28/22","DC Comics: (United States)",56,2022-09-28
"9/28/22","Marvel Comics: (United States)",43,2022-09-28
"9/29/22","DC Comics: (United States)",58,2022-09-29
"9/29/22","Marvel Comics: (United States)",49,2022-09-29
"9/30/22","DC Comics: (United States)",41,2022-09-30
"9/30/22","Marvel Comics: (United States)",39,2022-09-30
"10/1/22","DC Comics: (United States)",43,2022-10-01
"10/1/22","Marvel Comics: (United States)",53,2022-10-01
"10/2/22","DC Comics: (United States)",52,2022-10-02
"10/2/22","Marvel Comics: (United States)",47,2022-10-02
"10/3/22","DC Comics: (United States)",54,2022-10-03
"10/3/22","Marvel Comics: (United States)",49,2022-10-03
"10/4/22","DC Comics: (United States)",53,2022-10-04
"10/4/22","Marvel Comics: (United States)",43,2022-10-04
"10/5/22","DC Comics: (United States)",47,2022-10-05
"10/5/22","Marvel Comics: (United States)",49,2022-10-05
"10/6/22","DC Comics: (United States)",44,2022-10-06
"10/6/22","Marvel Comics: (United States)",45,2022-10-06
"10/7/22","DC Comics: (United States)",59,2022-10-07
"10/7/22","Marvel Comics: (United States)",55,2022-10-07
"10/8/22","DC Comics: (United States)",57,2022-10-08
"10/8/22","Marvel Comics: (United States)",57,2022-10-08
"10/9/22","DC Comics: (United States)",60,2022-10-09
"10/9/22","Marvel Comics: (United States)",64,2022-10-09
"10/10/22","DC Comics: (United States)",57,2022-10-10
"10/10/22","Marvel Comics: (United States)",52,2022-10-10
"10/11/22","DC Comics: (United States)",56,2022-10-11
"10/11/22","Marvel Comics: (United States)",41,2022-10-11
"10/12/22","DC Comics: (United States)",44,2022-10-12
"10/12/22","Marvel Comics: (United States)",44,2022-10-12
"10/13/22","DC Comics: (United States)",55,2022-10-13
"10/13/22","Marvel Comics: (United States)",52,2022-10-13
"10/14/22","DC Comics: (United States)",56,2022-10-14
"10/14/22","Marvel Comics: (United States)",48,2022-10-14
"10/15/22","DC Comics: (United States)",56,2022-10-15
"10/15/22","Marvel Comics: (United States)",52,2022-10-15
"10/16/22","DC Comics: (United States)",60,2022-10-16
"10/16/22","Marvel Comics: (United States)",48,2022-10-16
"10/17/22","DC Comics: (United States)",57,2022-10-17
"10/17/22","Marvel Comics: (United States)",44,2022-10-17
"10/18/22","DC Comics: (United States)",61,2022-10-18
"10/18/22","Marvel Comics: (United States)",43,2022-10-18
"10/19/22","DC Comics: (United States)",53,2022-10-19
"10/19/22","Marvel Comics: (United States)",36,2022-10-19
"10/20/22","DC Comics: (United States)",64,2022-10-20
"10/20/22","Marvel Comics: (United States)",37,2022-10-20
"10/21/22","DC Comics: (United States)",72,2022-10-21
"10/21/22","Marvel Comics: (United States)",40,2022-10-21
"10/22/22","DC Comics: (United States)",100,2022-10-22
"10/22/22","Marvel Comics: (United States)",45,2022-10-22
"10/23/22","DC Comics: (United States)",75,2022-10-23
"10/23/22","Marvel Comics: (United States)",45,2022-10-23
"10/24/22","DC Comics: (United States)",71,2022-10-24
"10/24/22","Marvel Comics: (United States)",49,2022-10-24
"10/25/22","DC Comics: (United States)",74,2022-10-25
"10/25/22","Marvel Comics: (United States)",44,2022-10-25
"10/26/22","DC Comics: (United States)",75,2022-10-26
"10/26/22","Marvel Comics: (United States)",54,2022-10-26
"10/27/22","DC Comics: (United States)",52,2022-10-27
"10/27/22","Marvel Comics: (United States)",48,2022-10-27
"10/28/22","DC Comics: (United States)",61,2022-10-28
"10/28/22","Marvel Comics: (United States)",40,2022-10-28
"10/29/22","DC Comics: (United States)",80,2022-10-29
"10/29/22","Marvel Comics: (United States)",49,2022-10-29
"10/30/22","DC Comics: (United States)",80,2022-10-30
"10/30/22","Marvel Comics: (United States)",54,2022-10-30
"10/31/22","DC Comics: (United States)",54,2022-10-31
"10/31/22","Marvel Comics: (United States)",43,2022-10-31
"11/1/22","DC Comics: (United States)",68,2022-11-01
"11/1/22","Marvel Comics: (United States)",31,2022-11-01
"11/2/22","DC Comics: (United States)",50,2022-11-02
"11/2/22","Marvel Comics: (United States)",52,2022-11-02
"11/3/22","DC Comics: (United States)",58,2022-11-03
"11/3/22","Marvel Comics: (United States)",31,2022-11-03
"11/4/22","DC Comics: (United States)",50,2022-11-04
"11/4/22","Marvel Comics: (United States)",36,2022-11-04
"11/5/22","DC Comics: (United States)",71,2022-11-05
"11/5/22","Marvel Comics: (United States)",67,2022-11-05
"11/6/22","DC Comics: (United States)",69,2022-11-06
"11/6/22","Marvel Comics: (United States)",47,2022-11-06
"11/7/22","DC Comics: (United States)",63,2022-11-07
"11/7/22","Marvel Comics: (United States)",38,2022-11-07
"11/8/22","DC Comics: (United States)",54,2022-11-08
"11/8/22","Marvel Comics: (United States)",37,2022-11-08
"11/9/22","DC Comics: (United States)",52,2022-11-09
"11/9/22","Marvel Comics: (United States)",35,2022-11-09
"11/10/22","DC Comics: (United States)",54,2022-11-10
"11/10/22","Marvel Comics: (United States)",42,2022-11-10
"11/11/22","DC Comics: (United States)",58,2022-11-11
"11/11/22","Marvel Comics: (United States)",53,2022-11-11
"11/12/22","DC Comics: (United States)",56,2022-11-12
"11/12/22","Marvel Comics: (United States)",72,2022-11-12
"11/13/22","DC Comics: (United States)",58,2022-11-13
"11/13/22","Marvel Comics: (United States)",61,2022-11-13
"11/14/22","DC Comics: (United States)",53,2022-11-14
"11/14/22","Marvel Comics: (United States)",61,2022-11-14
"11/15/22","DC Comics: (United States)",47,2022-11-15
"11/15/22","Marvel Comics: (United States)",45,2022-11-15
"11/16/22","DC Comics: (United States)",49,2022-11-16
"11/16/22","Marvel Comics: (United States)",43,2022-11-16
"11/17/22","DC Comics: (United States)",54,2022-11-17
"11/17/22","Marvel Comics: (United States)",38,2022-11-17
"11/18/22","DC Comics: (United States)",53,2022-11-18
"11/18/22","Marvel Comics: (United States)",38,2022-11-18
"11/19/22","DC Comics: (United States)",66,2022-11-19
"11/19/22","Marvel Comics: (United States)",35,2022-11-19
"11/20/22","DC Comics: (United States)",68,2022-11-20
"11/20/22","Marvel Comics: (United States)",47,2022-11-20
"11/21/22","DC Comics: (United States)",58,2022-11-21
"11/21/22","Marvel Comics: (United States)",35,2022-11-21
"11/22/22","DC Comics: (United States)",55,2022-11-22
"11/22/22","Marvel Comics: (United States)",43,2022-11-22
"11/23/22","DC Comics: (United States)",62,2022-11-23
"11/23/22","Marvel Comics: (United States)",45,2022-11-23
"11/24/22","DC Comics: (United States)",69,2022-11-24
"11/24/22","Marvel Comics: (United States)",56,2022-11-24
"11/25/22","DC Comics: (United States)",64,2022-11-25
"11/25/22","Marvel Comics: (United States)",44,2022-11-25
"11/26/22","DC Comics: (United States)",57,2022-11-26
"11/26/22","Marvel Comics: (United States)",50,2022-11-26
"11/27/22","DC Comics: (United States)",65,2022-11-27
"11/27/22","Marvel Comics: (United States)",53,2022-11-27
"11/28/22","DC Comics: (United States)",42,2022-11-28
"11/28/22","Marvel Comics: (United States)",42,2022-11-28
"11/29/22","DC Comics: (United States)",62,2022-11-29
"11/29/22","Marvel Comics: (United States)",49,2022-11-29
